;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
